annotation,event_number
"Sherlock walks a few steps into the room , then stops, holding one hand out in frontof himself as he focuses on the corpse. Then John enters into the room. Lestrade has his hands behind his back and silently looks at the victim's body. The three of them, stand there silently. Behind Sherlock, John looks at the woman's body and his face fills with sadness. The three men's point of view of the woman lying on her stomach in the middle of the room facedown. She has a pink jacket on.  The three men, stand there silently for several long seconds looking at the corpse.  Close Up on Sherlock's face. Sherlock abruptly turns round to Lestrade on his right mid-thought and says: ""Shut up."" Lestrade, startled, exclaims: ""I didn't say anything!"" John looks at Sherlock as well.  Sherlock replies: ""You were thinking, it's annoying"" then goes back to looking at the corpse.  Lestrade throws a surprised look at John.  John looks back at Lestrade, also with a surprised look. He then looks back round at the corpse.  Sherlock takes two tentative steps toward the corpse until he reaches the side of the corpse. Lestrade and John stay near the door.  Sherlock keenly looks down at the corpse. Something catches his attention immediately. Scratched into the floorboards near the woman's left hand is the word ""Rache"".  Sherlock's POV. His eyes flick to her fingernails where the index and middle nails are broken and ragged at the ends. The pink nail polish is chipped in stark comparison to her other nails which are still immaculate. The woman's index finger rests at the bottom of the 'e' as if she was still trying to carve into the floor when she died.  Sherlock instantly makes a deduction: left handed. Sherlock looks back to the word carved into the floorboards An immediate suggestion springs into his mind: RACHE German (n.) revenge Sherlock shakes his head and his previous thought disappears. He looks down at the word again. Sherlock overlays the five letters with a clearer type. Next to the 'e' a rapid progression of letter appear and disappear as he tries to complete a word, then the correct letter settles into place to form the word Rachel He squats down beside the body and runs his gloved hand along the back of her coat, then lifts his hand again to look at his fingers: wet Sherlock reaches into the corpse's coat pockets.  John watches keenly Sherlock finds a white folding umbrella in one of them. Running his fingers along the folds of the material, he then inspects his glove again: dry Sherlock puts the umbrella back in her pocket.  Sherlock moves up to the collar of her coat and runs his fingers underneath it  Sherlocks looks again at his fingers: wet Lestrade stares keenly at Sherlock Reaching into his pocket, Sherlock takes out a magnifier and clicks it open Sherlock closely inspects the delivate gold bracelet on her left wrist: clean Sherlock leans a little closer to see her gold earring attached to her left ear: clean Sherlock also takes a look at the gold chain around her neck: clean Sherlock puts his magnifying glass closer toward the victim's left hand to look at her rings.  A view of the wedding ring and engagement ring flag a different message to Sherlock: dirty Sherlock blinks as a rapid succession of conclusions appear in front of his eyes Back to a view of the rings. The conclusions Sherlock draw are: married, unhappily married, unhappily married 10+ years John is keenly watching. He tilts his head left and right, wondering what Sherlock is doing.  Carefully Sherlock works the wedding ring off the woman's finger and holds it up to look at the inside of the ring.  While the outside of the ring is still showing dirty, the inside registers as, clean As Sherlock lowers the ring and slides it back onto the woman's finger, he has already reached a conclusion about the ring: regularly removed Lifting his hands away from the woman, he looks down at her and makes his final deduction about her.  A view of the woman's face on the floor. Sherlock's deduction serial adulterer appears next to her.  Sherlock smiles slightly in satisfaction.  Lestrade breaks the silence and asks: ""Got anything?""",30
"Sherlock removes his gloves and stands up and nonchalantly replies: ""Not much.""  Sherlock reaches into his coat pocket and gets his mobile phone. Someone's voice is heard saying: ""She's German."" Anderson, from where he is casually leaning against the doorway continues: ""'Rache': It's German for 'revenge'. She could be trying to tell us something…"" While he is speaking, Sherlock has walked quickly towards the door and now begins to close it in Anderson's face. Sherlock is looking at something on his phone while walking.  Sherlock, while not taking his eyes of his phone, says sarcastically: ""Yes, thank you for your input"" then slams the door shut. He turns and walks back into the room.  John looks contemplative. In the background Lestrade asks: ""So she's german?"" Sherlock while speaking has called up a menu for UK weather on his phone. The menu offers five options: Maps, Local, Warnings, Next 24 Hours, 7 Day Forecast. He selects the Maps option. Sherlock, still looking at his phone, says: ""Of course she's not. She's from out of town, though. Intended to stay in London for one night...."" Sherlock smiles smugly when he apparently finds the information he needed from his phone. He continues: ""...before returning to Cardiff"" He then pockets his phone.  John is looking a little confused, lost in his thoughts, when Sherlock says: ""So far, so obvious.""  John incredulously asks: ""Sorry - obvious?"" Lestrade asks: ""What about the message, though?"" Sherlock ignores Lestrade, looks at John and asks: ""Doctor Watson, what do you think?"" John looks round at Lestrade, then at Sherlock and asks: ""Of the message?""",31
"Sherlock: ""Of the body. You're a medical man."" Lestrade interjects: ""Wait, no, we have a whole team right outside."" Sherlock replies: ""They won't work with me."" Cut to John awkwardly staying silent during the conversation between Sherlock and Lestrade Lestrade says: ""I'm breaking every rule letting you in here."" Sherlock states confidently: ""Yes…because you need me.""  John quickly turns round to Lestrade to see his reaction Lestrade stares at him for a moment with his mouth ready to defend himself, then he lowers his eyes helplessly and says: ""Yes, I do. God help me."" Sherlock says: ""Doctor Watson."" John looks up from the body to Sherlock and says: ""Hm?"" Then he turns his head towards Lestrade, silently seeking his permission.  Lestrade, a little tetchily, says: ""Oh, do as he says. Help yourself"" He turns and opens the door, going outside.  Lestrade says in the background: ""Anderson, keep everyone out for a couple of minutes"" as John and Sherlock approach the corpse on each of her sides and squat down. John painfully lowers himself to one knee on the other side, learning heavily on his cane to support himself.  Sherlock looks toward John and asks: ""Well?"" John asks softly: ""What am I doing here?"" Sherlock whispers: ""Helping me make a point."" John softly replies: ""I'm supposed to be helping you pay the rent."" Sherlock replies softly: ""Yeah well, this is more fun."" John asks: ""Fun? There's a woman lying dead."" Sherlock admits: ""Perfectly sound analysis, but I was hoping you'd go deeper."" Lestrade comes back into the room and stands just inside the doorway John drags his other leg down into a kneeling position and then leans forward to look more closely at the woman's body. Sherlock and Lestrade are watching. John puts his head close to the woman's and sniffs. He then straightens a little.  Sherlock and Lestrade are paying close attention to John.  John lifts her right hand and looks at her skin.  Sherlock and Lestrade are keenly watching.  John looks closely at the woman's skin on her right hand.  John says: ""Yup."" John kneels up and looks across to Sherlock. John continues: ""Asphyxiation, probably."" Sherlock looks round to Lestrade, while John says: "" Passed out, choked on her own vonmit.""  John looks up at Sherlock and says: ""Can't smell any alcohol on her. It could have been a seizure; possibly drugs."" Sherlock, looking at John, states: ""You know what it was, you've read the papers."" John looks surprised and says: ""What, she's one of the suicides? The fourth…?"" Camera is fixed on Sherlock. Lestrade says: ""Sherlock - two minutes, I said. I need anything you've got.""",32
"Sherlock stands up, while John is struggling to get on his feet, and says: ""Victim is in her late thirties. Professional person, going by her clothes. I'm guessing something in the media, going by the…"" Cut to a view of the woman dressed in pink on the floor. Sherlock (in the background): ""…frankly alarming shade of pink.""  Sherlock continues in the background as John looks at the body, then at Sherlock walking across the room saying: ""Travelled from Cardiff today, intending to stay in London for one night."" Sherlock walks past Lestrade and says: ""It's obvious from the size of her suitcase."" Sherlock looks around the room.  Lestrade: ""Suitcase?"" Sherlock continues to look around the room and says: ""Suitcase, yes. She's been married at least ten years, but not happily. She's had a string of lovers, but none of them knew she was married."" Lestrade has his arms crossed: "" Oh, for God's sake, if you're just making this up…"" Sherlock points down to her left hand and bends down near her explaining: ""Her wedding ring. Ten years old at least. The rest of her jewellery has been regularly cleaned, but not her wedding ring…""  Lestrade looks shocked as Sherlock continues in the background: ""State of her marriage right there…"" Sherlock is squatting down beneath the woman's body and he continues to explain: ""The inside of the ring is shinier than the outside - that means it's regularly removed. The only polishing it gets is when she works it off her finger."" Sherlock: ""It's not for work; look at her nails."" Sherlock looks down.  A view of Jennifer Wilson's hand with pink nail polish. Sherlock continues: ""She doesn't work with her hands.""  John looks at Sherlock in shock as Sherlock gets up and continues: ""…so what or rather whom does she remove her rings for?"" Sherlock: ""Clearly not one lover; she'd never sustain the fiction of being single over that amount of time, so more likely a string of them. Simple."" John admiringly says to Sherlock: ""That's brilliant."" Sherlock looks round at him and John immediately says: ""Sorry.""  Lestrade asks: ""Cardiff?"" Sherlock says: ""It's obvious, isn't it?"" John: ""It's not obvious to me."" and stares at Sherlock.  Sherlock pauses as he looks at the other two men and says seriously: ""Dear God, what is it like in your funny little brains? It must be so boring."" Sherlock turns back to the body and explains in a lively manner: ""Her coat: it's slightly damp. She's been in heavy rain in the last few hours. No rain anywhere in London in that time."" Sherlock continues, looking at Lestrade: ""Under her coat collar is damp, too. She's turned it up against the wind. She's got an umbrella in her left-hand pocket but it's dry and unused: not just wind, strong wind - too strong to use her umbrella. We know from her suitcase that she was intending to stay overnight, so sht must have come a decent distance but she can't have travelled more than two or three hours because her coat still hasn't dried."" Sherlock reaches into his coat pocket and continues : ""…So, where has there been heavy rain and strong wind within the radius of that travel time?""  Sherlock shows the other two the webpage he was looking at earlier, displaying the day's weather for the Southern part of Britain. Sherlock states: ""Cardiff."" John exclaims: ""That's fantastic!"" Sherlock turns round to John and speaks in a low voice: ""D'you know you do that out loud?"" John apologetically says: ""Sorry, I'll shut up.""  Sherlock replies in a low voice: ""No it's….fine"" Lestrade asks at the back: ""Why do you keep saying suitcase?"" Sherlock spins around in a circle to look around the room. Sherlock: ""Yes, where is it? She must have had a phone or an organiser. Find out who Rachel is."" Lestrade asks: ""She was writing 'Rachel'?"" Sherlock sarcastically says to Lestrade: ""No, she was leaving an angry note in German!"" Sherlock: ""Of course she was writing Rachel"" John looks stunned at Sherlock's deduction. Sherlock goes back near the body and looks down at it as he says: ""...no other word it can be. Question is: why did she wait until she was dying to write it?"" Lestrade asks: ""How'd you know she had a suitcase?"" There is a policeman outside of the room.  Sherlock points down to the body, where her tights have small black splotches on the lower part of her right leg. He explains: ""Back of the right leg: tiny splash marks on the hell and calf, not present on the left…"" Close up to the victim's legs where Sherlock was pointing to earlier. Sherlock continues in the background: ""She was dragging a wheeled suitcase behind her with her right hand.."" Mud marks are seen on her right leg. Sherlock points as he explains: ""Don't get that splash pattern any other way."" John and Lestrade are watching intently.  Sherlock looks toward Lestrade: ""Smallish case, going by the spread."" Sherlock: ""Case that size, woman this clothes-conscious: could only be an overnight bag, so we know she was staying one night."" Lestrade and John keep silent, standing up with their arms crossed while thinking.  Sherlock squats down by the woman's body and examines the back of her legs more closely. Sherlock asks: ""Now, where is it? What have you done with it?"" Lestrade shakes his head and says: ""There wasn't a case."" John looks at him, surprised.  Slowly Sherlock raises his head and frowns up at Lestrade. He says: ""Say that again.""",33
"Lestrade says: ""There wasn't a case. There was never any suitcase."" Sherlock registers this fact.  Immediately Sherlock straightens up and heads for the door, calling out to all police officers in the house as he begins to hurry down the stairs. Sherlock: ""Suitcase! Did anyone find a suitcase? Was there a suitcase in this house?"" He passes by Lestrade, John as well as a policeman guarding the door.  Lestrade comes out of the room, passes the police standing guard, and calls down the stairs: ""Sherlock, there was no case!"" Sherlock, slowing down, but still making his way down the stairs, says: ""But they take the poison themselves; they chew, swallow the pills themselves. There are clear signs. Even you lot couldn't miss them"" Lestrade: ""Right, yeah, thanks!"" He callls out loudly down the stairs: ""AND…?"" John stays silent beside Lestrade. The two stay upstairs.  Sherlock reaches a floor where Anderson and two other people dressed in coveralls as well as another policeman are patiently waiting. Sherlock calls up the stairs to answer Lestrade: ""It's murder, all of them. I don't know how, but they're not suicides, they're killings..."" View of Lestrade and John looking down at the stair railings. Sherlock continues: ""…serial killings."" Sherlock abruptly holds his hands in front of his face in delight. Sherlock says joyfully: ""We've got ourselves a serial killer. I love those. There's always something to look forward to."" Sherlock continues down the next flight of stairs quickly. He passes by another policeman standing guard by another door on that floor.  Lestrade calls down the stairs: ""Why are you saying that?"" John stays silent.  Sherlock stops going down the stairs and calls up to the others: ""Her case! Come on, where is her case? Did she eat it?"" Another view of Lestrade and John staring intently down the stairs at Sherlock who continues: ""Someone else was here, and they took her case."" Sherlock, more quietly as if talking to himself, says: ""So the killer must have driven here; forgot the case was in the car…"" John from the top of the stairs calls down to Sherlock :""She could have checked into a hotel, left her case there."" Sherlock looks up the stairs again and calls up to John: ""No, she never got to the hotel. Look at her hair. She colour-coordinates her lipstick and her shoes. She'd never have left any hotel with her hair still looking…"" Sherlock then stops talking as he makes a realisation. Sherlock says: ""Oh."" His eyes widen and his face lights up. He exclaims: ""Oh!"" He then claps his hands together in delight. John from the top of the stairs says: ""Sherlock?"" Lestrade leans over the railings and asks: ""What is it, what?"" Sherlock, smiling cheerfully to himself, says: ""Serial killers are always hard. You have to wait for them to make a mistake."" Lestrade leans against the railings and exclaims: ""We can't just wait!"" Sherlock says looking up: ""Oh we're done waiting."" He starts to hurry down the stairs again. He then continues: ""Look at her, really look! Houston, we have a mistake. Get on to Cardiff: find out who Jennifer Wilson's family and friends are. Find Rachel!"" Sherlock reaches the bottom of the stairs and disappears from view.  Lestrade, calling after Sherlock, says: ""Of course, yeah - But what mistake?!"" Sherlock comes back into view and runs up a couple of stairs so that he can be seen before he stops and yells up to Lestrade: ""PINK!"" He then leaves the building.  Back to a view of the stunned faces of Lestrade and John at the top of the stairs. Anderson goes by and says: ""Let's get on with it.""  More people in coveralls and a man in a suit come up the stairs to get the investigation going.  Lestrade goes back into the crime scene, while John is remaining standing outside awkwardly out of place.  Forgotten by everyone else, John hesitates on the landing for a moment and then slowly starts making his way down the stairs.  While going down the stairs, a couple more police officers hurry up and one of them bumps against him, throwing him off-balance and making him lurch heavily against the bannisters. The man hurries on without a word, although his colleague does at least look apologeticaly at John as he passes.  John gets out of the building. He has removed his coveralls and put his jacket back on, and now walks onto the street. There are many police officers and people around the building. Looking all around, he can see no sign of Sherlock. ",34
"John walks toward the police tape, still looking around. Donovan is at the police tape speaking with a police man.  Donovan, standing at the tape alongside a police man, sees him and says: ""He's gone."" John asks Donovan: ""Sherlock Holmes?"" Donovan: ""Yeah, he just took off. He does that."" John asks Donovan: ""Is he coming back?"" Donovan: ""Didn't look like it."" John: ""Right."" He looks around the area again thoughtfully, unsure of what to do. John says quietly: ""Right….yes."" Donovan has gone back to talking with the police man near the tape.  John turns to Donovan again and asks: ""Sorry, where am I?"" Donovan turns around and answers: ""Brixton.""  John asks Donovan: ""Right. Er, d'you know where I could get a cab? It's just, er… well…"" H e looks down awkwardly at his walking stick and says: ""…my leg."" Donovan: ""Er…"" She stepss over to the tape and lifts it for him and says: ""…try the main road."" John says: ""Thanks"" and ducks under the tape.  Donovan says: ""But you're not his friend."" John stops in his tracks Donovan: ""He doesn't have any friends."" John then turns back towards her. Donovan continues: ""So who are you?"" John replies: ""I'm…I'm nobody. I just met him. "" Donovan: ""Okay, bit of advice then: stay away from that guy."" John asks: ""Why?"" Donovan doesn't answer right away.  Donovan: ""You know why he's here?"" John doesn't answer, he has an unknowing look.  Donovan continues: ""He's not paid or anything. He likes it. He gets off on it. The weirder the crime, the more he gets off. And you know what? One day just showing up won't be enough. One day we'll be standing round a body and Sherlock Holmes will be the one that put it there.""  John: ""Why would he do that?"" Donovan: ""Because he's a psychopath."" She nods while speaking.  John doesn't know what to say. Donovan continues in the background: ""Psychopaths get bored."" Lestrade calls out to Donovan near the entrace to the house: ""Donovan!"" Donovan turns and calls to him: ""Coming!"" John is still standing near the tape. Expressionless. He looks at Donovan who is making her way inside the house.  Donovan turns around toward John and calls out to John: ""Stay away from Sherlock Holmes"" John watches her go, then looks around for a moment.  John turns and eyes the distance he has to go to get to the main road.  John begins to limp down the road. He is looking up toward his left.",35
"The sound of a telephone ringing is heard and John stops walking.  John turns to where the sound is coming from. It is from a public telephone in a red booth. He looks at it for a few seconds.  John looks down at his watch, shakes his head and continues down the road.  A view of the telephone booth. It stops ringing as John starts walking away.  Not long afterwards, John is walking down the main road. He tries to hail a passing taxi. John yells out: ""Taxi! Taxi…"" The taxi passes him by In Chicken Cottage, the fast food restaurant outside which John is stand, the payphone on the wall begins to ring. John turns and looks as one of the serving staff walks over to it but as he reaches for the phone, it stops.  John stares at the phone from the outside for a moment then resumes walking.  John is walking on down the road and shortly afterwards approaches another public telephone box. The phone inside starts to ring.  John stops. Mystified by this, he looks left and right to see if anyone else is going to pick up. John reaches for the telephone booth door and goes into the telephone box.  John lifts the phone, puts it to his ear and says: ""Hello?"" A man's voice speaks down on the phone. The man says: ""There is a security camera on the building to your left. Do you see it?"" John does not turn his head. He frowns. John: ""Who's this?"" There is no answer. John asks again: ""Who's speaking?"" Camera's point of view of John in the phone box. The man says: ""Do you see the camera, Doctor Watson?"" The camera zooms in. John is looking through the window of the phone box. A shot of the CCTV camera high up on the wall of a nearby building John replies: ""Yeah, I see it.""  The Man says: ""Watch."" The camera, which was pointing directly at the phone box, now swivels away. John is no longer visible through the camera.  The screen is split into four. Supposedly four cameras (Brixton 053, Brixton 002, Brixton 051, Brixton 047) that show what is going on on the street. Brixton 051, the camera that has just swivelled, now shows a close up of the road. Nothing else is visible. Brixton 053 and Brixton 047 are still showing John in the phone booth at different angles.  The man says: ""There's another camera on the building opposite to you."" John looks around to find it.  A shot of the other CCTV camera. The man's voice continues: ""Do you see it?"" John does not answer, but he is looking in the camera's direction.  The camera immediately swivels away.  The man: ""And finally, at the top of the buliding on your right."" John turns his head to find the camera.  Camera's point of view of John staring up into the third camera.  John's viewpoint of the camera as it turns away.  The screen is split into four. Now camera Brixton 053, 051 and 047, which were initially trained on the phone box's direction are showing nothing.  John asks into the phone: ""How are you doing this?"" The man's voice says: ""Get into the car, Doctor Watson."" A black car pulls up at the kerbside near the phone. John watches it pull up.  The man continues: ""I would make some sort of threat, but I'm sure your situation is quite clear to you.""  The male driver gets out and opens the rear car door. The phone goes dead. John puts the phone down and looks thoughtful for a moment, then turns to leave the phone box. ",36
"A few moments later John is sitting in the back seat of the car as it pulls away and drives off.  John is on the right seat, right behind the driver. An attractive young woman is sitting beside John, her eyes fixed on her BlackBerry while she types on it. She is ignoring him. John turns toward her and says: ""Hello."" The woman smiles brightly at him for a moment and says: ""hi"", before returning her gaze to her phone. John awkwardly stays seated.  John turns to the woman and asks: ""What's your name, then?"" The woman, without looking up from her phone, replies: ""Er…Anthea."" John asks Anthea: ""Is that your real name?"" Anthea smiles, turns toward John, and says: ""No."" John nods, then twists to look out of the rear window briefly before turning back again.  John says: ""I'm John"" while looking straight ahead.  Anthea, still with eyes locked on her phone, replies: ""Yes. I know.""  John, surprised, looks at Anthea for a moment, then turns back.  John looks straight at the road and asks: ""Any point in asking where I am going?"" Anthea turns and smiles briefly at him and says: ""None at all…"" then looks back at her phone again. She continues: ""…John."" John turns to look out his window on the right and says: ""Okay."" Some time later, the car pulls into an almost-empty warehouse. ",37
"A man in a suit is standing in the centre of the area, leaning nonchalantly on an umbrella as he watches the car stop and John get out. Only his backside is shown. The car's lights are still on, illuminating the place.  The Man, whose face is not yet shown, watches John limps towards him, leaning heavily on his cane.  In front of the man is a straight-backed armless chair facing him. He gestures to it with the point of his umbrella and says: ""Have a seat, John."" His face is visible.  As John continues to limp toward the man; his voice is calm as he says: ""You know, I've got a phone."" He looks around the warehouse. John continues: ""I mean, very clever and all that but er….you could just phone me. On my phone."" He walks straight past the chair and stops a few paces in front of the man.  The Man: ""When one is avoiding the attention of Sherlock Holmes, one learns to be discreet, hence this place."" The  The Man gestures to the warehouse. He continues: ""The leg must be hurting you."" The Man's voice, which has had a pleasant smile in it so far, now becomes a little more stern. He says: ""Sit Down."" John looks straight at the Man and says: ""I don't want to sit down.""  The Man looks at him curiously and says: ""You don't seem very afraid."" John says: ""You don't seem very frightening."" The Man chuckles and says: ""Ah, yes. The bravery of the soldier. Bravery is by far the kindest word for stupidity…"" John looks back at the Man with a straight face as the Man continues: ""…don't you think?"" The Man looks at John sternly and asks: ""What is your connection to Sherlock Holmes?"" John replies: ""I don't have one. I barely know him. I met him…"" He looks away thoughtfully, then appears surprised as if he hadn't realised until now how little time has passed. He continues: ""…yesterday."" The Man: ""Mmm, and since yesterday you've moved in with him and now you're solving crimes together. Might we expect a happy announcement by the end of the week?"" John asks: ""Who are you?"" The Man replies: ""An interested party."" John asks: ""Interested in Sherlock, why?"" John continues: ""I'm guessing you're not friends."" The Man: ""You've met him. How many 'friends' do you imagine he has?"" John recognises the truth in the Man's words and does not reply.  The Man: ""I am the closest thing to a friend that Sherlock Holmes is capable of having."" John asks: ""And what's that?"" The Man replies: ""An enemy."" John immediately says: ""An enemy?"" The Man: ""In his mind, certainly."" The Man continues: ""If you were to ask him, he'd probably say his arch-enemy. He does love to be dramatic."" John says sarcastically: ""Well, thank God you're above all that."" The Man frowns at John.  John's phone trills a text alert and John reaches into his left pocket.  John takes his phone out and activates it, looking at the message while ignoring the man in front of him. The message reads: Baker Street. Come at once if convenient. SH The Man says: ""I hope I'm not distracting you."" John continues to look at his phone and does not answer right away.  John, finally looking up from his phone, casually says: ""Not distracting me at all"" The Man asks: ""Do you plan to continue your association with Sherlock Holmes?"" John replies: ""I could be wrong… but I think that's none of your business."" The Man, a little ominously, replies: ""It could be."" John says with a stern look: ""It really couldn't."" The Man takes a notebook from his inside pocket, then opens it and consults it as he says: ""If you do move into um…"" The Man reads aloud from his notebook and says: ""Two hundred and twenty one B…"" John is looks down at the Man's notebook. The Man continues: ""…Baker Street, I'd be happy to pay you a meaningful…"" The Man continues: ""…sum of money on a regular basis to…"" He closes his notebook and puts it away again, then continues: ""…ease your way."" John asks: ""Why?""   The Man replies in a matter-of-fact way: ""Because you're not a wealthy man."" John: ""In exchange for what?"" The Man pauses for a moment and says: ""Information. Nothing indiscreet. Nothing you'd feel…uncomfortable with."" The Man continues: ""Just tell me what he's up to.""  John asks: ""Why?"" The Man replies: ""I worry about him…constantly."" Johns says insincerely: ""That's nice of you."" The Man: ""But I would prefer for various reasons that my concern go unmentioned. We have what you might call a…"" The man looks at the tip of his umbrella for a moment, then says: ""... difficult relationship.""  John's phone trills another text alert. ",38
"John immediately takes his phone out  John looks at the message, which reads: If inconvenient, come anyway. SH John closes the message and says: ""No"" in response to the Man's offer.  The Man: ""But I haven't mentioned a figure."" John says: ""Don't bother."" The Man laughs briefly and says: ""You're very loyal, very quickly."" John says: ""No, I'm not. I'm just not interested.""  The Man looks at him closely for a moment, then takes out his notebook and opens it again. The Man gestures slightly to make it clear that he is reading a note from the book and says: ""'Trust issues,' it says here."" For the first time since the encounter with The Man, John looks a little unnerved. He looks down at the notebook in The Man's hand and asks: ""What's that?"" The Man, still looking down at his book, asks: ""Could it be that you've decided to trust Sherlock Holmes…."" The Man continues: ""…of all people?"" John is still looking down at the notebook.  John asks: ""Who says I trust him?"" and looks up at The Man.  The Man, still looking down at his book, says: ""You don't seem the kind to make friends easily."" John, starting to get angry, asks: ""Are we done?"" The man raises his head and looks into John eyes. He says: ""You tell me."" John looks at The Man for a few seconds, tilting his head.  John turns around to go back to the car.  John turns his back on The Man and starts to walk away.   John continues to walk back toward the car. The Man says: ""I imagine people have already warned you to stay away from him, but I can see from your left hand that's not going to happen."" John stops walking.  John pauses, shakes his head, then turns around to face The Man again. He asks through bared teeth: ""My what?"" The Man says calmly: ""Show me."" He nods toward John's left hand as he speaks. He plants the tip of his umbrella on the floor and leans on it casually. ",39
"John pauses, then deliberately shifts his feet under him, as if digging in. He raises his left hand, bending it at the elbow, and stands still. He wants The Man to come to him to see his hand.  Unperturbed by John's beligerence, the man strolls forward, hooking the handle of the umbrella over his arm as he reaches for John's hand. The Man reaches for John's hand. John instantly pulls his hand back a little and says tensely: ""Don't"" The Man lowers his head and raises his eyebrows at John with a small smile John stares at The Man for a moment. John very reluctantly lowers his hand, holding it out flat with the palm down. The man takes it in both of his own hands.  The Man examines John's hand closely then states: ""Remarkable."" John snatches his hand away and asks: ""What is?"" The Man turns and while walking a few paces away says: ""Most people blunder round this city, and all they see are streets and shops and cars."" John is staring at The Man.  The Man stops walking and continues: ""When you walk with Sherlock Holmes, you see the battlefield."" John is looking at The Man with a serious look the whole time.  The Man turns toward John again and asks: ""You've seen it already, haven't you?"" John asks: ""What's wrong with my hand?"" The Man says: ""You have an intermittent tremor in…"" The Man continues: ""…your left hand."" John nods in agreement.  The Man: ""Your therapist thinks it's post-traumatic…"" The Man continues: ""…stress disorder. She thinks you're haunted by memories of your military service."" John almost flinches as the man accurately fires off these facts at him. His gaze is fixed ahead of him and a muscle in his cheek twitches repeatedly. John, angry and distressed, asks: ""Who the hell are you?"" The Man does not answer.  John asks: ""How do you know that?"" The Man ignores John's questions and says: ""Fire her. She's got it the wrong way around."" The Man continues: ""You're under stress right now and your hand is perfectly steady."" John's eyes flicker downwards before returning to stare ahead of himself, his face set and struggling to hold back his anger.  The Man: ""You're not haunted by the war, Doctor Watson….you miss it."" The Man leans closer to John. Reluctantly, John's eyes rise up to meet his.  The Man whispers: ""Welcome back."" The Man turns to walk away.  John looks straight ahead and looks angry, but defeated.  The Man is walking away toward John's right, while casually twirling his umbrella as he goes. Just then, John receives another text message alert. John continues to look straight ahead.  The Man says while walking away: ""Time to choose a side, Doctor Watson."" John turns his head toward The Man and glances at him for a moment, then looks straight ahead once again.  Behind John, the car door opens. Anthea gets out and walks a few paces towards John, her attention still fixed on the BlackBerry held in front of her in both hands. ",40
"John half turns toward Anthea at the sound of her footsteps. Anthea says: ""I'm to take you home."" John stops and takes out his phone from his left pocket to look at the new message. It reads: Could be dangerous. SH. John puts the phone back in his left pocket.  John holds out his left hand in front of him and studies the lack of tremor coming from it. He smiles wryly.  Anthea asks: ""Address?"" John turns toward her.  John replies: ""Er, Baker Street."" John starts walking toward Anthea and specifies: ""Two two one B Baker Street."" John walks toward the car while saying: ""But I need to stop off somewhere first."" Later, John opens the door to his bedsit, walks in, switches on the light, and closes the door behind him. ",41
"John walks toward his desk, looking around to his right.  John opens his desk drawer.  John takes out his pistol from the drawer. John checks the clip of the gun.  John tucks the gun into the back of his waistband of his jeans and turns to leave again. ",42
"Later, the car pulls up outside of 221B Baker Street.  Inside the car, Anthea is still fixated on her phone. John looks across the her and says: ""Listen, your boss - any chance you could not tell him this is where I went?"" Anthea nonchalantly says: ""Sure."" John: ""You've told him already, haven't you?"" Anthea smiles across to him briefly then says: ""Yeah."" John nods in resignation.  John turns to get out of the car, but just as he opens the door, he turns back to her and asks: ""Hey, um… do you ever get any free time?"" Anthea smiles while typing on her phone, and sarcastically says: ""Oh yeah, lots."" John smiles and looks at her, waiting expectantly. She continues working on her phone for a long moment.  Anthea turns and looks at him before allowing her gaze to drift past him to the door of 221B. She says: ""Bye."" Indicating that John should leave.  John says: ""Okay"" then he gets out of the car.  John gets out of the car onto the street.   The car drives away and John walks across the pavement to the front door of 221 B.  John knocks on the door. ",43
"Side panning view of Sherlock. Upstairs in the living room of the flat, Sherlock is lying stretched out on the sofa with his head towards the window and resting on a cushion. His jacket is off and his shirt sleeves are unbuttoned and pushes up his arms. He has his eyes closed and he is pressing the palm of his right hand firmly onto the underside of his left arm, just below the elbow.  After a few seconds, his eyes snap open wide and stares fixedly up towards the ceiling. Then he sighs out a noisy breath and relaxes.  John comes into the living room and asks: ""What are you doing?"" Sherlock replies calmly: ""Nicotine patch.""  Sherlock lifts his right hand to show that he has three round nicotine patches stuck to his arm. He says: ""Helps me think."" Sherlock continues: ""Impossible to sustain a smoking habit in London these days. Bad news for brain work."" John, walking further into the room, says: ""It's good news for breathing."" Sherlock says dismissively: ""Ugh, breathing. Breathing's boring."" John frowns as he looks closer at Sherlock's arm and starts to walk closer to Sherlock.  John walks closer to Sherlock and asks: ""Is that three patches?"" Sherlock remains on the sofa lying down.  Sherlock presses his hands together in a prayerful position under his chin and replies: ""It's a three patch problem."" Sherlock closes his eyes. John is standing by his head. John stares at Sherlock for a second.  John looks around the room for a moment, then looks out the window for a second.  John looks down at Sherlock again. He asks: ""Well?""",44
